FID,id,codigo,simt,tipo,clasificac,comuna,zona,eje,desde,hacia,sentido,fila_super,fila_infer,grupo_de_p,identifica,nombre_ust,x,y,zona_paga,n__et,corredor,ubica_corr,rts,tipo_rts,rm,estado_rm,estado,existe_se,codigo_ant,fecha_fich,cod_sol_pa,comentario
1,1,L-1-1-5-OP,PB865,PS,ACTIVO,INDEPENDENCIA,B,ARTESANOS,AV. LA PAZ,AV. INDEPENDENCIA,O-P,AV. INDEPENDENCIA,ARTESANOS,-,-,AV. INDEPENDENCIA / ARTESANOS,346347.2,6299731.88,93,,,,,,1,BUENO,CON REFUGIO,SERVIU-Dic/2010,,,,
2,2,L-1-2-5-SN,PB1337,PS,ACTIVO,INDEPENDENCIA,B,BAJOS DE JIMNEZ,TACORA,14 DE LA FAMA,S-N,14 DE LA FAMA,BAJOS DE JIMNEZ,-,-,14 DE LA FAMA / BAJOS DE JIMNEZ,343695.33,6302784.85,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,7929,
3,3,L-1-2-10-SN,PB1336,PS,ACTIVO,INDEPENDENCIA,B,BAJOS DE JIMNEZ,CRNEL ALVARADO,EUGENIO MATTE,S-N,EUGENIO MATTE,BAJOS DE JIMNEZ,-,-,EUGENIO MATTE / BAJOS DE JIMNEZ,343909.96,6302493.64,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,7930,
4,4,L-1-2-15-NS,PB1314,PS,ACTIVO,INDEPENDENCIA,B,BAJOS DE JIMNEZ,REINA MARIA,EUGENIO MATTE,N-S,EUGENIO MATTE,BAJOS DE JIMNEZ,-,-,EUGENIO MATTE / BAJOS DE JIMNEZ,343884.38,6302499.82,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
5,5,L-1-2-20-NS,PB1315,PS,ACTIVO,INDEPENDENCIA,B,BAJOS DE JIMNEZ,CRNEL ALVARADO,ROSA SALAS,N-S,ROSA SALAS,BAJOS DE JIMNEZ,-,-,ROSA SALAS / BAJOS DE JIMNEZ,343971.13,6302369.7,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
6,6,L-1-3-5-SN,PB881,PS,ELIMINADO,INDEPENDENCIA,B,BARàN DE JURAS REALES,TACORA,14 DE LA FAMA,S-N,14 DE LA FAMA,BARàN DE JURAS REALES,-,-,14 DE LA FAMA / BARàN DE JURAS REALES,344124.66,6302952.04,0,,,,,,0,,SIN REFUGIO,,,,,ELIMINADO POR CONSTRUCCIàN DEL CORREDOR DORSAL
7,7,L-1-3-10-NS,PB852,PS,ACTIVO,INDEPENDENCIA,B,BARàN DE JURAS REALES,TACORA,REINA MARIA,N-S,REINA MARÖA,BARàN DE JURAS REALES,-,-,REINA MARÖA / BARàN DE JURAS REALES,344176.12,6302785.25,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,,
8,8,L-1-4-5-PO,PB899,PS,ACTIVO,INDEPENDENCIA,B,BEZANILLA,AV. VIVACETA,EMILIO OELCKERS,P-O,AV. VIVACETA,BEZANILLA,-,-,AV. VIVACETA / BEZANILLA,345350.18,6301149.98,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,7931,
9,9,L-1-4-10-PO,PB900,PS,ACTIVO,INDEPENDENCIA,B,BEZANILLA,EMILIO OELCKERS,ESCANILLA,P-O,ESCANILLA,BEZANILLA,-,-,ESCANILLA / BEZANILLA,345590.84,6301156.65,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,7932,
10,10,L-1-4-15-PO,PB901,ET,ACTIVO,INDEPENDENCIA,B,BEZANILLA,MARURI,AV. INDEPENDENCIA,P-O,AV. INDEPENDENCIA,BEZANILLA,HOSPITALES,3,PARADA 3 / HOSPITALES,345979.28,6301174.05,0,,,,1,Refugio 4(m),0,,CON REFUGIO,SERVIU-Dic/2010,,,7933,
