<<<<<<< HEAD
id,region,sexo,tramo_etario,informalidad,nivel_educativo,lugar_trabajo,financiamiento_inicial,motivacion,tramos_ganancias,rama_economica,ganancia_final
36189105,Tarapacá,Hombre,35 a 44 años,Informal,Básica completa / Media incompleta,Local/Oficina/Taller establecido,Financiamiento formal (Bancos/Instituciones),Tradición familiar,Menos de $300.000,"Agricultura, silvicultura y pesca",110000.0
61746634,Tarapacá,Hombre,65 años o más,Formal,Básica completa / Media incompleta,En la vía pública / Kiosco,Solo ahorros/recursos propios,Tradición familiar,Menos de $300.000,Explotación de minas,30000.0
30871308,Atacama,Mujer,65 años o más,Formal,Básica completa / Media incompleta,Vehículo,Subsidios públicos / Fondos del Estado,Necesidad (Desempleo/Falta de oportunidades),De $600.000 a $1.000.000,Suministro de electricidad y agua,1300000.0
51475914,Tarapacá,Mujer,55 a 64 años,Informal,Básica completa / Media incompleta,Predio agrícola,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Suministro de electricidad y agua,360000.0
24189185,Atacama,Hombre,65 años o más,Formal,Superior incompleta (IP/CFT/Univ),En la vía pública / Kiosco,Solo ahorros/recursos propios,Otra razón,Menos de $300.000,Suministro de electricidad y agua,80000.0
41849228,Atacama,Mujer,45 a 54 años,Formal,Superior completa (IP/CFT),En su propio hogar,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),Más de $2.500.000,Suministro de electricidad y agua,16000000.0
20875033,Arica y Parinacota,Hombre,25 a 34 años,Formal,Superior incompleta (IP/CFT/Univ),En el hogar del cliente,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Comercio,400000.0
83325418,Tarapacá,Mujer,25 a 34 años,Formal,Superior incompleta (IP/CFT/Univ),En su propio hogar,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Comercio,500000.0
44840362,Tarapacá,Mujer,35 a 44 años,Informal,Básica completa / Media incompleta,Predio agrícola,Financiamiento formal (Bancos/Instituciones),Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Suministro de electricidad y agua,300000.0
58377117,Arica y Parinacota,Mujer,35 a 44 años,Informal,Básica completa / Media incompleta,Vehículo,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,Explotación de minas,30000.0
61068581,Atacama,Hombre,25 a 34 años,Formal,Superior incompleta (IP/CFT/Univ),Vehículo,Solo ahorros/recursos propios,Necesidad (Desempleo/Falta de oportunidades),De $1.500.000 a $2.500.000,Comercio,2300000.0
35881914,Tarapacá,Hombre,55 a 64 años,Formal,Superior incompleta (IP/CFT/Univ),No tiene un lugar fijo,Financiamiento formal (Bancos/Instituciones),Necesidad (Desempleo/Falta de oportunidades),Menos de $300.000,Suministro de electricidad y agua,300000.0
53206706,Arica y Parinacota,Hombre,15 a 24 años,Informal,Media completa,Local/Oficina/Taller establecido,Subsidios públicos / Fondos del Estado,Oportunidad (Aumentar ingresos/Independencia),Menos de $300.000,"Agricultura, silvicultura y pesca",225000.0
65625540,Atacama,Hombre,55 a 64 años,Formal,Media completa,En la vía pública / Kiosco,Solo ahorros/recursos propios,Oportunidad (Aumentar ingresos/Independencia),De $600.000 a $1.000.000,Suministro de electricidad y agua,1400000.0
